BBC ABC
DCA BBD
ACC BDA
CBA DBA
BCD ACA
ABC CCDA
BDA CBAD
ABCC BDAC
DBCB ACCD
BCBD ADCC
BBAA CCDBA
ABCD DCBAB
BCCB ABCCB
BCBAD BCBBA
BDBBC ABCBD
ABBCAA DBCDBD
BCABAB DDDBAC
ABAADD BCBBDA
ABBADB BBCDCA
BCDDCA ADDCAA
BDCABD ABCBDDA
BACDDA ABCDCDA
ABBBDBB ADABCCA
DBABCCA ABDBCCD
BBCCDAD CCADBAC
ACBDCAB BDCACDAC
BDACBDCB ADBCBABA
BDBCBCAA BCACDCDA
BBACBADB ABDBCCDD
BBCADCDB DDCCCBBA
CCBABDACB ADCADCADC
BCBBADCDB CCADBACDA
DBDBACCCA BDDCDACDB
DDCABDCAB DBCCDABCD
DCCABCCDC AAABDCBBD
BDBDCACADB ACDCBBAAAA
BCDCDABACD DDCABDCABD
ADDCDBDCAB BBCDCDBADC
BBCCDDAACC DDBBAACCDD
DCABDCAAAB CABBDCBBAB
